trip_id,arrival_time,departure_time,stop_id,stop_sequence
TRIP-JEEP-05-OUT,06:00:00,06:01:00,ST-UP-OVAL,1
TRIP-JEEP-05-OUT,06:08:00,06:09:00,ST-UP-VINZONS,2
TRIP-JEEP-05-OUT,06:20:00,06:22:00,ST-PHILCOA,3
TRIP-JEEP-05-IN,06:30:00,06:31:00,ST-PHILCOA,1
TRIP-JEEP-05-IN,06:42:00,06:43:00,ST-UP-VINZONS,2
TRIP-JEEP-05-IN,06:50:00,06:52:00,ST-UP-OVAL,3
TRIP-MRT-03-SOUTH,05:30:00,05:31:00,ST-MRT-NORTH,1
TRIP-MRT-03-SOUTH,05:34:00,05:35:00,ST-MRT-QAVE,2
TRIP-MRT-03-SOUTH,05:42:00,05:43:00,ST-MRT-CUBAO,3
TRIP-MRT-03-SOUTH,06:05:00,06:06:00,ST-MRT-TAFT,4
TRIP-BUS-EDSA-SOUTH,05:45:00,05:46:00,ST-BUS-SMNORTH,1
TRIP-BUS-EDSA-SOUTH,05:58:00,05:59:00,ST-MRT-CUBAO,2
